02, denver,    nikodemus,  services,       katello,        dnvr0cuomkat1,       52:54:00:9B:65:00,   192.168.1.50,   centos8_300g.qcow2, 4096,  2

02, boulder,   nikodemus,  services,       haproxy,        bldr1cuomapisvr1,    52:54:00:9B:65:02,   192.168.1.51,   centos8_20g.qcow2,  4096,  2
03, boulder,   nikodemus,  develop,        amazon,         bldr1cuomaws,        52:54:00:9B:65:03,   192.168.1.52,   centos8_20g.qcow2,  4096,  2
04, boulder,   nikodemus,  develop,        coding,         bldr1cuomdev1,       52:54:00:9B:65:04,   192.168.1.53,   centos8_20g.qcow2,  4096,  2
05, boulder,   nikodemus,  develop,        coding,         bldr1cuomdev2,       52:54:00:9B:65:05,   192.168.1.54,   centos8_20g.qcow2,  4096,  2
06, boulder,   nikodemus,  develop,        coding,         bldr1cuomdev3,       52:54:00:9B:65:06,   192.168.1.55,   centos8_20g.qcow2,  4096,  2
07, boulder,   nikodemus,  develop,        coding,         bldr1cuomdev4,       52:54:00:9B:65:07,   192.168.1.56,   centos8_20g.qcow2,  4096,  2
08, boulder,   nikodemus,  docker,         docker,         bldr1cuomdock1,      52:54:00:9B:65:08,   192.168.1.57,   centos8_20g.qcow2,  4096,  2
09, boulder,   nikodemus,  develop,        git,            bldr1cuomgit1,       52:54:00:9B:65:09,   192.168.1.58,   centos8_20g.qcow2,  4096,  2
10, boulder,   nikodemus,  services,       haproxy,        bldr1cuomhap1,       52:54:00:9B:65:0A,   192.168.1.59,   centos8_20g.qcow2,  4096,  2
11, boulder,   nikodemus,  elasticstack,   data,           bldr1cuomifed1,      52:54:00:9B:65:0B,   192.168.1.60,   centos8_20g.qcow2,  4096,  2
12, boulder,   nikodemus,  elasticstack,   data,           bldr1cuomifed2,      52:54:00:9B:65:0C,   192.168.1.61,   centos8_20g.qcow2,  4096,  2
13, boulder,   nikodemus,  elasticstack,   kibana,         bldr1cuomifek1,      52:54:00:9B:65:0D,   192.168.1.62,   centos8_20g.qcow2,  4096,  2
14, boulder,   nikodemus,  elasticstack,   logging,        bldr1cuomifel1,      52:54:00:9B:65:0E,   192.168.1.63,   centos8_20g.qcow2,  4096,  2
15, boulder,   nikodemus,  elasticstack,   logging,        bldr1cuomifel2,      52:54:00:9B:65:0F,   192.168.1.64,   centos8_20g.qcow2,  4096,  2
16, boulder,   nikodemus,  elasticstack,   logging,        bldr1cuomifel3,      52:54:00:9B:65:10,   192.168.1.65,   centos8_20g.qcow2,  4096,  2
17, boulder,   nikodemus,  elasticstack,   master,         bldr1cuomifem1,      52:54:00:9B:65:11,   192.168.1.66,   centos8_20g.qcow2,  4096,  2
18, boulder,   nikodemus,  elasticstack,   master,         bldr1cuomifem2,      52:54:00:9B:65:12,   192.168.1.67,   centos8_20g.qcow2,  4096,  2
19, boulder,   nikodemus,  elasticstack,   master,         bldr1cuomifem3,      52:54:00:9B:65:13,   192.168.1.68,   centos8_20g.qcow2,  4096,  2
20, boulder,   nikodemus,  kubernetes,     worker,         bldr1cuomknode1,     52:54:00:9B:65:14,   192.168.1.69,   centos8_20g.qcow2,  4096,  2
21, boulder,   nikodemus,  kubernetes,     worker,         bldr1cuomknode2,     52:54:00:9B:65:15,   192.168.1.70,   centos8_20g.qcow2,  2048,  2
